Header;Items;Antworten;richtig;Mehrfachauswahl
Wissen_1;Aus wie vielen Personen besteht die Gruppe?;3//4//5//6;5;nein
Wissen_2;Was macht die sonderbare blonde Frau auf dem Fest?;Trinken//Reden//Tanzen//Singen;Singen;nein
Wissen_3;Woher hat die Gruppe die Pferde?;Im Wald gefunden.//Von einem Händler gekauft.//Von zuhause mitgenommen.//Von einer Wiese geklaut.;Von einem Händler gekauft.;nein
Wissen_4;Was ist das Ziel der Gruppe?;Der Wald//Die Aue//Die Brücke//Der Hafen;Die Brücke;nein
Wissen_5;Was findet die Gruppe vor, als sie das erste Mal den schwarzen Wald verlässt?;Ein paar Pferde//Ein verlassenes Haus//Eine singende Frau//Ein wildes Fest;Ein verlassenes Haus;nein
Wissen_6;Wo wohnte der alte Mann ursprünglich?;Im Tal der Seen//Im sandigen Land//Im schwarzen Wald//In der grünen Aue;In der grünen Aue;nein
